Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
16.29,Diseño de Fármacos,"viernes, 10 de julio de 2026",16:00,"viernes, 17 de julio de 2026",16:00
16.32,Redes Neuronales en BIO,"miércoles, 15 de julio de 2026",16:00,"miércoles, 22 de julio de 2026",16:00
16.33,Ingeniería Hospitalaria,"miércoles, 15 de julio de 2026",16:00,"miércoles, 22 de julio de 2026",16:00
16.43,Bioestadística,"martes, 7 de julio de 2026",16:00,"martes, 14 de julio de 2026",16:00
16.44,Física Médica,"viernes, 10 de julio de 2026",13:00,"viernes, 17 de julio de 2026",13:00
16.50,Introducción de la Bioinformática,"jueves, 2 de julio de 2026",8:00,"jueves, 16 de julio de 2026",8:00
16.53,Biotecnología Aplicada,"miércoles, 8 de julio de 2026",16:00,"miércoles, 15 de julio de 2026",16:00
16.55,Biología,"miércoles, 8 de julio de 2026",14:00,"miércoles, 15 de julio de 2026",14:00
16.57,Robótica Bioinspirada,"martes, 7 de julio de 2026",13:00,"martes, 14 de julio de 2026",13:00
16.63,Procesamiento de Señales e Imágenes Biomédicas,"miércoles, 8 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
16.64,Mecánica de biomateriales y tejidos,"lunes, 13 de julio de 2026",16:00,"jueves, 16 de julio de 2026",16:00
16.68,Señales y Sistemas,"martes, 7 de julio de 2026",17:00,"martes, 21 de julio de 2026",17:00
16.79,Neurociencias,"miércoles, 8 de julio de 2026",10:00,"miércoles, 15 de julio de 2026",10:00
16.81,Neurobiología del Aprendizaje y Control del Movimiento,"martes, 14 de julio de 2026",13:00,"martes, 21 de julio de 2026",13:00
16.85,Procesamiento Avanzado de Imágenes en Biología y Biomedicina,"lunes, 6 de julio de 2026",10:00,"lunes, 20 de julio de 2026",10:00
17.01,Introducción a la Ingeniería Química,"miércoles, 8 de julio de 2026",10:00,"miércoles, 15 de julio de 2026",10:00
17.02,Procesos Industriales,"miércoles, 8 de julio de 2026",13:00,"miércoles, 15 de julio de 2026",13:00
17.03,Bioquímica y Microbiología Aplicadas,"martes, 14 de julio de 2026",8:00,"martes, 21 de julio de 2026",8:00
17.04,Fenómenos de Transporte,"miércoles, 15 de julio de 2026",13:00,"miércoles, 22 de julio de 2026",13:00
17.05,Control de Procesos,"martes, 7 de julio de 2026",17:00,"martes, 21 de julio de 2026",17:00
17.06,Proyecto Final de Carrera I,"lunes, 20 de julio de 2026",19:00,"lunes, 27 de julio de 2026",19:00
17.07,Proyecto Final de Carrera II,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
17.08,Seguridad de Procesos,"jueves, 2 de julio de 2026",19:00,"jueves, 16 de julio de 2026",19:00
17.09,Industrias Químicas,"miércoles, 8 de julio de 2026",19:00,"miércoles, 15 de julio de 2026",19:00
17.10,"Desarrollo de Yacimientos, Producción, Tratamiento y Comercialización de Gas y Petróleo","martes, 7 de julio de 2026",19:00,"martes, 14 de julio de 2026",19:00
17.15,Introducción a la Ingeniería Ambiental,"martes, 14 de julio de 2026",13:00,"martes, 21 de julio de 2026",13:00
17.16,Introducción a la Nanotecnología,"miércoles, 8 de julio de 2026",19:00,"miércoles, 15 de julio de 2026",19:00
17.19,Calidad de Aire,"lunes, 6 de julio de 2026",16:00,"lunes, 13 de julio de 2026",16:00
17.23,Triple Impacto: Estrategias para el Desarrollo Sostenible,"jueves, 16 de julio de 2026",19:00,"jueves, 23 de julio de 2026",19:00
17.24,Introducción al Proceso de Producción de Cerveza,"jueves, 16 de julio de 2026",16:00,"jueves, 23 de julio de 2026",16:00
18.01,Introducción a la Biotecnología,"viernes, 3 de julio de 2026",13:00,"viernes, 10 de julio de 2026",13:00
21.06,Electrotecnia,"jueves, 2 de julio de 2026",9:00,"jueves, 16 de julio de 2026",9:00
21.07,Máquinas e Instalaciones Eléctricas,"lunes, 6 de julio de 2026",16:00,"lunes, 13 de julio de 2026",16:00
21.08,Electrotecnia,"lunes, 6 de julio de 2026",16:00,"lunes, 13 de julio de 2026",16:00
21.09,Máquinas Eléctricas,"martes, 7 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
21.10,Instalaciones Eléctricas,"miércoles, 15 de julio de 2026",13:00,"miércoles, 22 de julio de 2026",13:00
21.30,Principios y Aplicaciones Eléctricas,"miércoles, 8 de julio de 2026",16:00,"miércoles, 15 de julio de 2026",16:00
21.44,Instalaciones Eléctricas,"miércoles, 15 de julio de 2026",13:00,"miércoles, 22 de julio de 2026",13:00
22.10,Electrónica e Instrumentación,"miércoles, 15 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
22.14,Electrónica IV,"viernes, 10 de julio de 2026",15:00,"viernes, 24 de julio de 2026",15:00
22.15,Electrónica V,"jueves, 16 de julio de 2026",15:00,"jueves, 23 de julio de 2026",15:00
22.21,Electromagnetismo,"jueves, 16 de julio de 2026",16:00,"jueves, 23 de julio de 2026",16:00
22.22,Antenas y Radioprogramación,"miércoles, 15 de julio de 2026",16:00,"miércoles, 22 de julio de 2026",16:00
22.28,Electrónica de Potencia,"viernes, 10 de julio de 2026",15:00,"viernes, 24 de julio de 2026",15:00
22.29,Microondas,"viernes, 17 de julio de 2026",18:00,"viernes, 24 de julio de 2026",18:00
22.31,Diseño de Equipos Electrónicos (Anual),"miércoles, 15 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
22.33,Microelectrónica,"miércoles, 8 de julio de 2026",19:00,"miércoles, 15 de julio de 2026",19:00
22.37,Electromagnetismo,"lunes, 13 de julio de 2026",16:00,"lunes, 20 de julio de 2026",16:00
22.45,Redes Neuronales,"martes, 14 de julio de 2026",10:00,"martes, 21 de julio de 2026",10:00
22.46,Procesamiento Adaptativo de Señales,"martes, 7 de julio de 2026",10:00,"martes, 14 de julio de 2026",10:00
22.47,Procesamiento de Voz,"miércoles, 15 de julio de 2026",15:00,"miércoles, 22 de julio de 2026",15:00
22.48,Procesamiento de imágenes,"miércoles, 15 de julio de 2026",17:00,"miércoles, 22 de julio de 2026",17:00
22.49,Laboratorio de Dsp_fpga,"lunes, 13 de julio de 2026",17:00,"lunes, 27 de julio de 2026",17:00
22.56,Sensores y Actuadores,"martes, 14 de julio de 2026",15:00,"martes, 21 de julio de 2026",15:00
22.57,Microprocesadores y Control,"martes, 14 de julio de 2026",12:00,"martes, 21 de julio de 2026",12:00
22.61,Transmisión de la Información,"martes, 14 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
22.64,Comunicaciones Digitales,"jueves, 16 de julio de 2026",15:00,"jueves, 23 de julio de 2026",15:00
22.66,Redes Digitales,"jueves, 16 de julio de 2026",15:00,"jueves, 23 de julio de 2026",15:00
22.67,Señales Aleatorias,"jueves, 16 de julio de 2026",15:00,"jueves, 23 de julio de 2026",15:00
22.73,Instrumentación y Control Industrial,"jueves, 16 de julio de 2026",9:00,"jueves, 23 de julio de 2026",9:00
22.88,Sensores y Actuadores,"martes, 14 de julio de 2026",18:00,"martes, 21 de julio de 2026",18:00
22.90,Automación Industrial,"viernes, 17 de julio de 2026",19:00,"viernes, 24 de julio de 2026",19:00
22.93,Control Automático,"lunes, 20 de julio de 2026",17:00,"lunes, 27 de julio de 2026",17:00
22.94,Control Discreto,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
23.02,Electrónica Analógica y Digital,"miércoles, 8 de julio de 2026",8:00,"miércoles, 22 de julio de 2026",8:00
23.03,Sistemas de Control,"jueves, 16 de julio de 2026",9:00,"jueves, 23 de julio de 2026",9:00
23.05,Acústica para Ingenieros,"jueves, 16 de julio de 2026",16:00,"jueves, 23 de julio de 2026",16:00
23.07,Electrónica Industrial,"viernes, 17 de julio de 2026",18:00,"viernes, 24 de julio de 2026",18:00
23.08,Control Avanzado,"martes, 7 de julio de 2026",16:00,"martes, 14 de julio de 2026",16:00
23.15,Realidad Virtual,"viernes, 10 de julio de 2026",15:00,"viernes, 17 de julio de 2026",15:00
23.16,Sistemas de Control,"jueves, 16 de julio de 2026",9:00,"jueves, 23 de julio de 2026",9:00
23.17,Electrónica e Instrumentación,"miércoles, 15 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
